Sequence No.,V,D,air density,I,S_b,y (% relative to rated power)
13597,7.23,292.3,1.246601163,0.077455048,0.219399748,5.321212121
13598,6.13,286.3,1.247347109,0.061990212,0.265249719,9.054545455
13599,6.05,283.6,1.247748585,0.147107438,0.195609896,18.49090909
13600,6.98,292.6,1.249237537,0.081661891,0.2418225,12.95757576
13601,6.44,290.4,1.249464074,0.088509317,0.138760837,7.793939394
13602,5.83,286.1,1.250470384,0.087478559,0.186701107,10
13603,6.45,280.8,1.250947133,0.074418605,0.216877504,16.11515152
13604,6.68,285.8,1.25099091,0.100299401,0.165634228,10.53939394
13605,7.61,293.1,1.251872856,0.124835742,0.20151335,16.39393939
13606,7.09,297.6,1.251867632,0.071932299,0.192987495,12.99393939
13607,6.21,296.9,1.25248106,0.086956522,0.202069249,3.818181818
13608,5.2,291.5,1.253211006,0.107692308,0.316217582,2.612121212
13609,6.23,283.8,1.253982536,0.110754414,0.217060351,13.71515152
13610,7.3,286.3,1.254116327,0.102739726,0.234029945,14
13611,6.9,288.1,1.254597596,0.089855072,0.22688772,9.284848485
13612,6.58,284.4,1.254934805,0.123100304,0.257407561,11.97575758
13613,6.71,289.6,1.255498882,0.084947839,0.241029432,7.157575758
13614,7.29,289.8,1.255645579,0.108367627,0.237757126,9.890909091
13615,7.15,287,1.25528451,0.12027972,0.215125745,14.83636364
13616,7.83,296.3,1.255369241,0.091954023,0.143544033,25.60606061
13617,7.7,295.8,1.255091,0.106493506,0.085272777,18.16363636
13618,6.98,290.7,1.255281008,0.118911175,0.064575189,10.16969697
13619,6.56,286.3,1.255823615,0.143292683,0.075770232,9.503030303
13620,6.95,285.4,1.255959619,0.089208633,0.038687133,11.66666667
13621,6.26,283.9,1.255192698,0.146964856,0.032166404,12.84848485
13622,8.64,285.5,1.255454912,0.059027778,0.065219896,24.39393939
13623,8.11,286.2,1.25496878,0.080147965,0.072377307,14.13333333
13624,7.29,281.2,1.254588607,0.087791495,0.064925751,27.81818182
13625,7.42,283.9,1.254791309,0.080862534,0.073033321,30.21212121
13626,7.7,284.2,1.254986408,0.087012987,0.046641715,30.35151515
13627,8.29,288.4,1.254532014,0.082026538,0.029670788,34.31515152
13628,8.69,290.4,1.255656927,0.050632911,0.067472456,30.41212121
13629,9,289.3,1.255106996,0.063333333,0.106154059,31.43636364
13630,8.97,291.5,1.254670419,0.088071349,0.072998832,35.52121212
13631,8.67,286.6,1.254375362,0.079584775,0.070273244,28.64242424
13632,7.64,286.3,1.254231754,0.103403141,0.047011915,24.32121212
13633,7.82,289,1.25435988,0.101023018,0.069238751,18.65454545
13634,7.88,292.3,1.253591419,0.092639594,0.083287936,16.66060606
13635,6.87,291.1,1.252990219,0.101892285,0.035853355,13.43030303
13636,7.08,293.8,1.251524189,0.11440678,0.089629511,21.21212121
13637,5.53,290.3,1.2504974,0.132007233,-0.004013064,14.64242424
13638,6.25,294.8,1.249581284,0.1168,0.061254346,13.2969697
13639,6.2,292.7,1.249632328,0.151612903,0.050731766,12.95757576
13640,6.32,293.1,1.249002399,0.113924051,0.09331256,11.10909091
13641,6.38,291.5,1.24925966,0.152037618,0.077945895,10.5030303
13642,6.15,287.8,1.248721653,0.128455285,0.010861782,16.07878788
13643,6.77,291.9,1.248513412,0.11225997,0.097246733,14.53939394
13644,6.84,296.4,1.248097114,0.083333333,0.055903633,26.64848485
13645,6.24,290.8,1.247934694,0.179487179,0.109442335,13.02424242
13646,5.99,295.4,1.247629223,0.141903172,0.063951769,9.818181818
13647,5.43,284.7,1.247220143,0.134438306,0.108987864,6.678787879
13648,5.45,287,1.246722425,0.144954128,0.024589514,9.412121212
13649,5.24,294.6,1.245856035,0.141221374,0.06888087,7.078787879
13650,5.23,302.4,1.245247188,0.13001912,0.038556553,4.145454545
13651,5.7,293.3,1.244617054,0.192982456,-0.07283374,7.890909091
13652,5.94,296,1.244796712,0.121212121,0.072210587,17.67272727
13653,6.25,296.3,1.244927457,0.08,0.04668885,15.31515152
13654,5.9,290.2,1.244626061,0.128813559,0.037970669,11.12121212
13655,5.16,292.7,1.243826356,0.108527132,0.030339224,5.16969697
13656,5.55,301.9,1.244702249,0.120720721,0.044466509,8.557575758
13657,5.21,301.1,1.244442789,0.099808061,0.043048442,8.454545455
13658,5.19,309.1,1.245408568,0.117533719,0.012876732,9.2
13659,5.2,309.9,1.24533044,0.111538462,0.030104256,9.412121212
13660,5.66,313.2,1.245610294,0.114840989,0.051612672,15.83636364
13661,5.47,309.1,1.246082904,0.078610603,0.065941171,13.55757576
13662,5.86,311.9,1.246490261,0.110921502,0.03437914,18.21212121
13663,5.99,308.7,1.247150911,0.071786311,0.071598007,21.42424242
13664,5.68,311.7,1.247680734,0.077464789,0.035477366,15.35151515
13665,5.9,314.5,1.248250091,0.077966102,0.057202219,14.51515152
13666,5.71,313.9,1.248431541,0.059544658,0.039245368,13.7030303
13667,4.89,315.6,1.249156899,0.116564417,0.041262426,10.51515152
13668,5.71,319.4,1.249557739,0.077057793,0.115777637,9.921212121
13669,5.58,319.4,1.249686632,0.037634409,0.101815718,11.08484848
13670,5.77,321.8,1.249802835,0.034662045,0.11049248,17.04242424
13671,5.75,320.6,1.250196791,0.029565217,0.106829513,12.63636364
13672,5.68,324,1.250810334,0.040492958,0.166416489,13.56363636
13673,5.37,326.6,1.251562058,0.108007449,0.24001275,12.05454545
13674,4.27,332.7,1.253045093,0.06088993,0.579133012,2.606060606
13675,5.15,332.6,1.253484553,0.075728155,0.550231588,7.175757576
13676,5.47,336.1,1.253254471,0.040219378,0.418827759,11.51515152
13677,5.24,337.9,1.253535718,0.04389313,0.428844217,10.97575758
13678,4.95,345.5,1.2542137,0.068686869,0.251549597,5.278787879
13679,4.7,353.6,1.254682341,0.053191489,0.308789936,4.939393939
13680,5.39,354.7,1.255259118,0.038961039,0.309001539,7.581818182
13681,5.71,353.7,1.255867231,0.050788091,0.385612438,7.824242424
13682,6.17,353,1.255762011,0.04376013,0.329243014,13.3030303
13683,6.32,353.9,1.255913439,0.063291139,0.316778742,13.10909091
13684,5.79,356,1.257084796,0.041450777,0.366188323,16.10909091
13685,6.14,359.5,1.256964316,0.029315961,0.469578924,17.89090909
13686,6.29,1.84,1.257049092,0.027027027,0.426981221,20.98181818
13687,6.47,8.49,1.257967763,0.030911901,0.344694052,27.81818182
13688,7.08,12.47,1.258099732,0.032485876,0.363946678,32.92727273
13689,7.14,15.8,1.258345268,0.06022409,0.246508798,39.90909091
13690,6.93,18.28,1.258072642,0.085137085,0.05516852,44.16969697
13691,6.93,21.44,1.259185994,0.050505051,0.236524308,36.34545455
13692,6.57,28.04,1.259656734,0.0456621,0.3038605,29.96363636
13693,7.62,34.25,1.26003296,0.039370079,0.366829597,42.35151515
13694,7.95,30.17,1.260031039,0.026415094,0.343801564,47.2969697
13695,7.7,42.29,1.260850424,0.02987013,0.410755058,44.41212121
13696,7.7,59.26,1.261480941,0.031168831,0.528345612,41.72727273
13697,7.02,59.06,1.262432141,0.056980057,0.574559811,30.08484848
13698,6.53,57.82,1.263096025,0.032159265,0.484625458,25.90909091
13699,6.73,58.74,1.26335251,0.03268945,0.396413381,26.80606061
13700,6.84,60.54,1.26329609,0.027777778,0.404978123,29.17575758
13701,6.68,63.85,1.263520407,0.026946108,0.625746954,29.95151515
13702,7.13,63.76,1.263142955,0.047685835,0.443314068,37.81212121
13703,7.18,70.86,1.263573985,0.038997214,0.772896026,30.32727273
13704,6.96,76.83,1.263685363,0.025862069,0.802310008,22.2
13705,7.12,78.11,1.263102663,0.02247191,0.618306799,20.16363636
13706,7.41,74.7,1.263196243,0.025641026,0.856116169,28.12121212
13707,7.35,77.69,1.263201069,0.021768707,0.63598804,17.14545455
13708,7.39,80.3,1.263572237,0.02300406,0.470250324,17.97575758
13709,6.83,92.8,1.264385861,0.049780381,0.302651909,13.55757576
13710,7.23,95.2,1.263436446,0.073305671,0.222793531,21.41212121
13711,7.24,97.2,1.262968715,0.071823204,0.152372643,26.64848485
13712,7.33,96.9,1.262395003,0.080491132,0.176530991,26.25454545
13713,7.22,96.9,1.262496482,0.065096953,0.162718434,25.66666667
13714,5.96,107.1,1.262936459,0.184563758,0.210960583,24.96969697
13715,6.25,106.1,1.263067062,0.1456,0.216330807,26.24848485
13716,7.26,96,1.262713991,0.078512397,0.28005677,30.20606061
13717,8.06,90.1,1.26201921,0.070719603,0.358075869,26.64848485
13718,8.96,90.8,1.2617421,0.032366071,0.507459982,29.3030303
13719,7.76,95.2,1.262963952,0.082474227,0.359645324,26.96969697
13720,7.56,101,1.262262738,0.092592593,0.305014518,30.63030303
13721,7.78,102.5,1.261607258,0.062982005,0.222007876,32.14545455
13722,6.99,102,1.261682851,0.087267525,0.234383054,32.89090909
13723,8.08,101.3,1.261513519,0.076732673,0.256131919,35.46666667
13724,8.37,98.6,1.26104814,0.046594982,0.279608987,44.56969697
13725,8.38,98.9,1.260861539,0.052505967,0.182215388,49.13333333
13726,8.3,93.7,1.260616019,0.096385542,0.362566714,53.81818182
13727,9.73,92.9,1.259003958,0.055498458,0.32648126,58.15151515
13728,9.36,95.4,1.259136654,0.045940171,0.149692226,68.07878788
13729,8.58,97.9,1.260141267,0.067599068,0.211705837,71.9030303
13730,9,96.4,1.259694861,0.065555556,0.231289377,68.06060606
13731,9.18,98.7,1.259472664,0.075163399,0.267074094,73.84848485
13732,9.3,100,1.258965054,0.08172043,0.376500425,65.56969697
13733,9.17,100.6,1.25774799,0.061068702,0.331128821,80.66666667
13734,9.48,102.6,1.256981546,0.075949367,0.268663574,90.40606061
13735,9.68,103.1,1.256205373,0.092975207,0.231991184,94.23636364
13736,10.46,103.2,1.254869647,0.108986616,0.185948484,101.4727273
13737,11.18,103,1.254247447,0.077817531,0.263362341,101.4969697
13738,11.03,103.6,1.253951859,0.105167724,0.2222024,101.5151515
13739,11.18,104.1,1.253712929,0.127012522,0.270083163,101.4242424
13740,11.93,105.6,1.253718006,0.119865884,0.150192332,99.87272727
13741,10.17,109.8,1.254429983,0.2546706,0.024155978,98.26666667
13742,8.28,113.6,1.254761688,0.208937198,-0.195059997,98.44848485
13743,8.83,114.1,1.254651206,0.241223103,-0.100814682,86.73333333
13744,9.01,108.1,1.254733471,0.194228635,-0.026954033,88.78181818
13745,7.7,112.6,1.25454567,0.231168831,-0.263545531,82.86666667
13746,10.41,106.7,1.253818199,0.143131604,0.043090198,92.6
13747,8.42,112.5,1.254085528,0.217339667,-0.140550215,89.09090909
13748,8.64,113.6,1.253176523,0.184027778,-0.127390424,80.35151515
13749,7.48,117.1,1.252745171,0.185828877,-0.373576839,98.23636364
13750,6.78,118.9,1.252484109,0.209439528,-0.381374072,98.73939394
13751,7.76,114.9,1.252647924,0.213917526,-0.212746469,99.43030303
13752,6.98,120.9,1.252317289,0.200573066,-0.384731703,99.4
13753,6.68,123.6,1.252188966,0.158682635,-0.301171387,97.86060606
13754,6.47,125.1,1.252794305,0.190108192,-0.377921209,99.88484848
13755,6.01,124.5,1.252543079,0.143094842,-0.300296763,100.0909091
13756,8.98,116.9,1.251477959,0.167037862,-0.196362049,101.4545455
13757,10.14,112.2,1.250985064,0.17357002,-0.045531932,99.98787879
13758,8.25,114.2,1.25064909,0.184242424,-0.251729083,94.7030303
13759,8.91,115.7,1.249922233,0.208754209,-0.211479192,94.46666667
13760,8.52,114.3,1.249950143,0.219483568,-0.281234311,101.2848485
13761,9.16,114.8,1.249651475,0.222707424,-0.271301797,100.3090909
13762,9.4,111.3,1.249253966,0.178723404,-0.124071984,100.6848485
13763,9.73,113.8,1.248292269,0.169578623,-0.1985926,101.2121212
13764,8.82,120.7,1.248099003,0.198412698,-0.28555852,100.0969697
13765,8.4,123.6,1.248292269,0.141666667,-0.226082781,101.4363636
13766,8.74,124.5,1.247553373,0.125858124,-0.224606608,101.5333333
13767,7.16,122.3,1.247365727,0.136871508,-0.375833168,100.2181818
13768,6.98,122,1.247710406,0.138968481,-0.325061373,95.20606061
13769,6.42,119.7,1.247509926,0.14953271,-0.351283137,89.73939394
13770,6.91,119.8,1.246996148,0.163531114,-0.300217333,90.01818182
13771,6.5,122.4,1.246479496,0.126153846,-0.291043916,91.71515152
13772,6.45,124.9,1.246439113,0.142635659,-0.222636341,95.5030303
13773,6.9,120.7,1.245859412,0.188405797,-0.32021937,100.2969697
13774,6.9,119.8,1.245969597,0.214492754,-0.289348967,95.04848485
13775,11.53,130.8,1.228632624,0.1934085,-0.136360417,101.5575758
13776,11.26,130.4,1.228201256,0.168738899,-0.19983815,101.5454545
13777,10.64,129.3,1.227852116,0.171992481,-0.265331451,101.4060606
13778,9.62,126.9,1.227994439,0.14968815,-0.200763795,101.6060606
13779,10.07,126.8,1.227421829,0.140019861,-0.222308387,101.4787879
13780,12.26,129,1.226536596,0.174551387,-0.060761489,101.5272727
13781,11.35,128.3,1.226556451,0.168281938,-0.189354772,101.5030303
13782,12.91,129.3,1.225804738,0.171185128,-0.089367038,101.5636364
13783,12.28,129.7,1.225741683,0.189739414,-0.041218037,101.4787879
13784,14.85,131.3,1.224260537,0.111784512,0.045332799,101.5333333
13785,15.49,131.1,1.223999941,0.103938025,-0.005728514,101.4848485
13786,14.43,132.5,1.223387805,0.107415107,0.078330756,101.5151515
13787,14.51,132.9,1.223121473,0.114403859,0.073139927,101.4606061
13788,15.75,135.5,1.222637539,0.092698413,0.180615671,101.5393939
13789,16.29,135.4,1.222097657,0.090853284,0.152372643,101.4969697
13790,15.61,135.4,1.221309925,0.089045484,0.162313427,101.5212121
13791,16.26,136.5,1.220396317,0.090405904,0.143901399,101.5454545
13792,17.05,137.9,1.219306108,0.06686217,0.173346577,101.5151515
13793,16.2,134.9,1.218299143,0.1,0.132776729,101.5333333
13794,16.97,136.3,1.21692043,0.065409546,0.125191807,101.4606061
13795,16.29,136.8,1.216731335,0.073050952,0.146538811,101.4242424
13796,15.33,135.4,1.216409224,0.110893673,0.111419046,101.4424242
13797,15.09,136.9,1.215935944,0.079522863,0.142864295,101.4242424
13798,14.52,141.2,1.216273369,0.078512397,0.147029396,101.2060606
13799,13.03,143.5,1.215418322,0.085955487,0.186618417,101.5757576
13800,14.81,139.9,1.213831835,0.063470628,0.213956703,101.4787879
13801,15.41,140.1,1.212642514,0.059052563,0.159848187,101.430303
13802,15.11,142.9,1.211302094,0.070152217,0.142668991,101.3878788
13803,15.21,142,1.209932111,0.069033531,0.130831053,101.5575758
13804,15.46,138.3,1.210019518,0.064036223,0.201385183,101.3939394
13805,15.01,135.9,1.208687436,0.10326449,0.250368053,101.2060606
13806,10.99,131.5,1.209527063,0.2211101,-0.004038601,99.4969697
13807,12.22,136.6,1.21118215,0.09410802,0.266172126,98.21818182
13808,13.24,136.3,1.210990218,0.069486405,0.248242275,101.1333333
13809,13.17,137.6,1.210175192,0.059225513,0.301186536,100.4969697
13810,12.82,138.3,1.209118702,0.098283931,0.340095153,100.5333333
13811,13.32,137,1.207800564,0.084834835,0.228108635,100.2909091
13812,12.68,133.3,1.207288485,0.137223975,0.074819955,100.4727273
13813,14.02,134.9,1.207204593,0.091298146,0.147372169,101.4545455
13814,14.1,137.4,1.207615284,0.076595745,0.170192144,101.4
13815,13.98,140.2,1.206943237,0.063662375,0.194139108,101.0606061
13816,8.4,136.6,1.207958005,0.55,0.228161434,53.40606061
13817,6.6,134.7,1.208458341,0.384848485,0.392895246,32.6969697
13818,11.01,150.6,1.204576944,0.114441417,0.209286196,93.38787879
13819,10.75,151.9,1.202163168,0.117209302,0.160640828,94.15757576
13820,9.72,148.4,1.203462436,0.057613169,0.12212797,87.87878788
13821,9.61,147.2,1.204104466,0.058272633,0.198110424,80.61212121
13822,9.17,149.6,1.204630846,0.066521265,0.200109221,68.48484848
13823,8.65,150.7,1.204276532,0.09017341,0.241174467,71.55151515
13824,7.95,150.8,1.205016711,0.095597484,0.314638387,60.27272727
13825,8.02,150.4,1.205531443,0.1159601,0.449739941,45.6
13826,7.98,150.8,1.205178643,0.097744361,0.41166858,55.40606061
13827,6.94,151.2,1.204936787,0.083573487,0.425557124,41.18787879
13828,6.96,153.6,1.204440807,0.090517241,0.374549838,35.70909091
13829,6.89,160.6,1.202566188,0.120464441,0.252373946,33.78181818
13830,5.4,163.7,1.202451568,0.111111111,0.071051986,33.83636364
13831,6.03,166.9,1.202395889,0.119402985,0.442872581,18.66666667
13832,5.71,169.5,1.201117683,0.113835377,0.317261504,20.00606061
13833,5.22,181.2,1.200180159,0.122605364,0.047307753,13.81212121
13834,5.22,188.6,1.199491351,0.139846743,0.034305393,17.63030303
13835,5.56,193.4,1.199844653,0.125899281,0.612533022,14.13333333
13836,4.17,196.8,1.200763807,0.167865707,0.702038687,5.581818182
13837,3.93,223.4,1.201830007,0.122137405,0.534135495,-1.012121212
13838,3.62,224.6,1.202052306,0.080110497,0.743703698,-0.4
13839,3.84,238.6,1.202122844,0.104166667,0.89197151,1.327272727
13840,5.31,246.5,1.202250166,0.124293785,0.623722721,8.218181818
13841,5.63,238.7,1.202782327,0.101243339,0.512484496,12.47878788
13842,4.96,235,1.202673186,0.153225806,0.186767948,8.606060606
13843,4.19,232.6,1.202034866,0.455847255,0.343287844,1.642424242
13844,6.06,267.1,1.20267168,0.089108911,0.531681392,14.16363636
13845,5.96,262.1,1.202923769,0.129194631,0.27330041,7.472727273
13846,5.28,275.5,1.203332805,0.064393939,0.41509764,2.812121212
13847,5.57,284,1.203651207,0.055655296,0.444406897,3.975757576
13848,6.31,285.7,1.204155096,0.0681458,0.281069051,3.951515152
13849,6.29,280.4,1.204788993,0.06200318,0.226587319,4.454545455
13850,5.64,277.1,1.205980834,0.106382979,0.193272286,11.48484848
13851,6,274.9,1.206722828,0.093333333,0.213557633,14.5030303
13852,6.33,281.3,1.20730058,0.08056872,0.198062519,9.078787879
13853,6.82,288.7,1.207971592,0.112903226,0.141184674,12.40606061
13854,7.59,294.4,1.208587216,0.092226614,0.154503618,19.8
13855,7.17,299.9,1.209453705,0.073919107,0.072420719,29.67272727
13856,7.89,306.6,1.210214064,0.079847909,0.130442371,37.67272727
13857,7.96,303.3,1.211044111,0.061557789,0.153049729,55.73333333
13858,8.51,300.9,1.211762561,0.112808461,0.156794202,55.41818182
13859,10.18,307.5,1.212973874,0.066797642,0.179430338,78.05454545
13860,10.05,311,1.213682506,0.059701493,0.134384977,79.18181818
13861,10.04,311.6,1.214623732,0.071713147,0.174845385,86.21818182
13862,10.78,313.6,1.215302028,0.094619666,0.191399885,93.64242424
13863,10.68,311.3,1.215956115,0.117977528,0.168453815,98.51515152
13864,10.46,316.2,1.216308541,0.13001912,0.209159041,80.03636364
13865,9.64,315.8,1.216636307,0.090248963,0.194948687,74.15757576
13866,9.54,313.9,1.216661362,0.121593291,0.141803223,78.6
13867,9.12,310.3,1.21791033,0.106359649,0.125243434,77.73333333
13868,9.58,314.2,1.22019816,0.096033403,0.119065482,78.11515152
13869,9.38,313.5,1.220692348,0.124733475,0.131703142,74.62424242
13870,9.49,313.3,1.221269584,0.086406744,0.167673752,76.9030303
13871,9.86,312.4,1.22234254,0.079107505,0.12510754,82.37575758
13872,9.68,315.6,1.222596823,0.076446281,0.137244225,78.60606061
13873,10.18,313.3,1.2226734,0.065815324,0.098142592,65.45454545
13874,9.65,306.9,1.223367131,0.070466321,0.07490632,85.26060606
13875,8.22,312.6,1.223741667,0.102189781,0.142274276,55.3030303
13876,7.51,313.7,1.223672025,0.121171771,0.062996567,41.05454545
13877,7.96,313.4,1.223398708,0.082914573,0.079541033,58.74545455
13878,7.61,315.7,1.22345536,0.127463863,0.160348964,44.40606061
13879,7.26,314.1,1.223670433,0.100550964,0.145395537,38.84848485
13880,6.36,312.8,1.223644426,0.092767296,0.035202481,33.08484848
13881,6.63,310.7,1.223676617,0.087481146,0.085376769,31.41212121
13882,8.5,307.9,1.224186569,0.061176471,0.090675041,46.74545455
13883,8.98,294.3,1.224917847,0.062360802,0.106396236,36.05454545
13884,8.59,291.1,1.225689461,0.08032596,0.07896199,20.95151515
13885,8.52,295.4,1.22608821,0.078638498,0.104076661,26.37575758
13886,9.13,302.6,1.226149165,0.097480832,0.074212807,56.28484848
13887,7.67,303,1.225499571,0.087353325,0.115916564,33.58787879
13888,8.19,293.3,1.226546641,0.084249084,0.080077872,24.64848485
13889,7.96,298.2,1.226767876,0.047738693,0.070881256,36.41212121
13890,9.46,299.3,1.226666547,0.071881607,0.123098017,69.21818182
13891,8.64,300.4,1.226705292,0.106481481,0.113393038,43.64848485
13892,9.4,297.2,1.227506342,0.088297872,0.113934208,50.92121212
13893,11.11,294.5,1.228831435,0.113411341,0.119096309,76.26060606
13894,9.15,268,1.260290382,0.054644809,0.262533747,46.88484848
13895,8.7,252.7,1.263612569,0.045977011,0.332638594,56.0969697
13896,8.35,253.7,1.263160791,0.05748503,0.32298148,47.24848485
13897,8.39,254.3,1.26332057,0.058402861,0.349032688,48.44848485
13898,8.52,254.5,1.263382476,0.056338028,0.283236421,52.3030303
13899,8.48,253.4,1.264088886,0.053066038,0.323710816,50.84242424
13900,8.32,251.7,1.264041548,0.056490385,0.390077626,48.93939394
13901,8.63,253.1,1.264010607,0.057937428,0.356605585,52.64848485
13902,8.6,251.9,1.264066146,0.054651163,0.382364757,57.66666667
13903,8.76,247.1,1.264280177,0.063926941,0.37475684,53.2
13904,8.26,245.9,1.264226496,0.110169492,0.361308324,57.55151515
13905,8.91,248.8,1.263965446,0.067340067,0.353233319,65.57575758
13906,9.29,249.9,1.264213854,0.049515608,0.357197719,63.98787879
13907,9.18,247.5,1.264138876,0.046840959,0.336363245,59.28484848
13908,9.11,247.6,1.26412918,0.059275521,0.361996137,56.49090909
13909,9.13,250.7,1.264698052,0.069003286,0.361135048,61.98181818
13910,9.21,250.9,1.264835525,0.078175896,0.296259433,61.30909091
13911,9.69,248.2,1.264856833,0.061919505,0.312048612,70.62424242
13912,9.58,250.1,1.265121604,0.053235908,0.291971554,71
13913,9.73,253.7,1.265389874,0.057553957,0.292368374,70.17575758
13914,9.27,252.3,1.265368541,0.060409924,0.338414128,62.40606061
13915,8.87,253.9,1.266008601,0.072153326,0.299825972,59.51515152
13916,9.25,258.4,1.265448296,0.044324324,0.283947328,70.15151515
13917,9.31,258.7,1.265528034,0.048335124,0.317492872,72.00606061
13918,9.87,254.7,1.265907873,0.051671733,0.358213658,75.15151515
13919,10.01,249.9,1.265748853,0.050949051,0.326925107,72.12727273
13920,9.73,246.4,1.266674199,0.067831449,0.345069068,71.44848485
13921,9.77,245.1,1.266492359,0.078812692,0.293682767,71.96969697
13922,9.86,251.3,1.266116995,0.065922921,0.319246648,76.53939394
13923,10.17,253,1.265789358,0.068829892,0.293797588,81.74545455
13924,10.75,254.5,1.265638678,0.061395349,0.269903677,87.4969697
13925,10.71,250.3,1.264912063,0.068160598,0.256961665,88.58787879
13926,11.05,249.6,1.265250117,0.071493213,0.204080322,92.44242424
13927,11.29,253.4,1.264174972,0.071744907,0.148476124,97.12121212
13928,11.16,256.9,1.263351222,0.083333333,0.139642688,94.50909091
13929,10.95,256.5,1.262515742,0.087671233,0.12731999,90.38787879
13930,10.99,255.2,1.261785356,0.084622384,0.137568519,93.63636364
13931,11.13,255.6,1.261023427,0.084456424,0.064798909,97.67878788
13932,11.67,258.6,1.260518691,0.103684662,0.087346643,85.18787879
13933,10.99,259.2,1.260400496,0.08189263,0.076069916,74.44848485
13934,10.64,257.8,1.260094286,0.065789474,0.063528545,93.95151515
13935,11.24,259.1,1.259366572,0.073843416,0.054008254,82.96363636
13936,10.41,254.4,1.258800384,0.087415946,0.058371448,83.9030303
13937,9.42,252.1,1.257467331,0.081740977,0.026090562,74.78181818
13938,9.06,249.6,1.256425349,0.105960265,0.044574674,69.4969697
13939,9.27,247.4,1.255885567,0.076591154,0.048447505,71.38181818
13940,8.35,238.4,1.25486689,0.106586826,0.053850639,64.6
13941,7.96,241.2,1.253340514,0.121859296,0.079541033,63.48484848
13942,8.41,238.1,1.252020949,0.1117717,0.094419864,60.98787879
13943,8.45,236,1.25092471,0.098224852,0.042462083,58.27878788
13944,7.73,233.8,1.249756146,0.116429495,0.055279043,46.12727273
13945,7.74,230.1,1.249279753,0.121447028,0.031794337,58.32121212
13946,8.8,230.2,1.248579987,0.097727273,0.084898107,66.78787879
13947,8.44,229.5,1.247678955,0.093601896,0.005269825,74.26666667
13948,9,231.7,1.245716498,0.094444444,0.0600369,79.06060606
13949,9.25,229.9,1.243392494,0.117837838,0.090675041,79.2969697
13950,8.97,229.2,1.242466758,0.112597547,0.065335006,80.04242424
13951,9.94,229.5,1.241737882,0.118712274,0.036045092,91.17575758
13952,10.95,228.8,1.241179625,0.096803653,0.036816811,100.0848485
13953,10.72,230.7,1.239631686,0.105410448,0.099585407,94.03636364
13954,10.86,231.8,1.238992333,0.094843462,0.119754875,92.96363636
13955,10.74,228.5,1.238545643,0.084729981,0.099395748,98.2
13956,11.33,231.6,1.238122012,0.093556929,0.090021642,97.95757576
13957,10.96,233.4,1.23654645,0.104014599,0.110097517,100.7515152
13958,11.36,235.5,1.235221892,0.11971831,0.07557286,100.8666667
13959,11.28,233.2,1.234790179,0.115248227,0.082240032,101.4060606
13960,11.81,236,1.234510714,0.107535986,0.11383522,100.2
13961,11.22,235.7,1.233268546,0.126559715,0.088861052,100.8969697
13962,11.22,231.8,1.232383935,0.118538324,0.076532269,101.1151515
13963,12.28,232.9,1.231780288,0.092019544,0.081048894,100.8666667
13964,11.83,232.4,1.231349474,0.083685545,0.135482845,101.230303
13965,11.85,232.1,1.230622766,0.088607595,0.121345726,99.32121212
13966,10.81,234.9,1.230595656,0.106382979,0.146507821,98.07878788
13967,10.64,237.3,1.230069883,0.12406015,0.142241784,94.07272727
13968,10.36,237.4,1.230108052,0.098455598,0.178508065,94.97575758
13969,10.07,232.8,1.229761472,0.098311817,0.205538197,92.37575758
13970,9.76,232.7,1.229663427,0.081967213,0.157968312,85.98181818
13971,9.9,232,1.229266317,0.092929293,0.172564206,83.30909091
13972,9.92,233,1.229515327,0.065524194,0.198979249,88.03030303
13973,8.93,235.7,1.229865343,0.09518477,0.238733305,79.15151515
13974,8.68,238.2,1.229756127,0.087557604,0.263223184,75.03636364
13975,9,239.8,1.228910062,0.101111111,0.309333091,81.39393939
13976,9.33,237.9,1.228334446,0.093247588,0.241183671,78.37575758
13977,9.14,238,1.22869273,0.101750547,0.268316426,78.34545455
13978,9.75,242.7,1.228308393,0.076923077,0.299534971,71.63030303
13979,10.07,246.3,1.228352503,0.068520357,0.294399249,77.35151515
13980,9.72,248.4,1.228504863,0.058641975,0.308387685,73.58181818
13981,9.9,251.8,1.228043321,0.057575758,0.304953235,74.82424242
13982,9.49,256.1,1.228221634,0.072708114,0.284266524,66.92727273
13983,9.52,259.3,1.227817209,0.080882353,0.262206603,49.53333333
13984,8.9,260,1.228416022,0.065168539,0.281679609,32.7030303
13985,9.05,260.7,1.228263114,0.067403315,0.254578011,39.12727273
13986,10.6,262.8,1.227924711,0.090566038,0.224736082,69.48484848
13987,11,264.6,1.227974814,0.07,0.229547138,78.84242424
13988,10.09,268.8,1.228300519,0.088206145,0.188274692,66.24242424
13989,9.94,270.5,1.22834525,0.085513078,0.152610664,77.21818182
13990,9.75,273.6,1.228676465,0.099487179,0.215125745,85.03636364
13991,10.54,276.5,1.228906255,0.09487666,0.184476839,76.46060606
13992,9.83,275.6,1.229327223,0.09664293,0.253447076,79.27878788
13993,10.29,275,1.229257049,0.092322643,0.217541797,77.09090909
13994,10.06,275,1.229442199,0.109343936,0.205752271,81.98181818
13995,9.93,275,1.230311804,0.089627392,0.25074507,90.46666667
13996,10.33,276.4,1.22996498,0.118102614,0.262160853,82.53333333
13997,9.67,275.6,1.230675035,0.082730093,0.211935552,87.73333333
